antecedents;consequents;antecedent support;consequent support;support;confidence;lift;representativity;leverage;conviction;zhangs_metric;jaccard;certainty;kulczynski;complexidade
frozenset({'TV_Assinatura', 'Internet'});frozenset({'TV', 'Celular_Net', 'Urbano'});0.12828438948995363;0.5390559980977292;0.10850869892600959;0.8458449181340747;1.569122542220049;1.0;0.0393562293091448;2.990131731778858;0.4160773769744443;0.1941706261967236;0.6655665737492139;0.5235694227488489;5
frozenset({'TV', 'Alta_Renda', 'Urbano'});frozenset({'Celular_Net', 'Alta_Escol', 'Internet'});0.2179685332699243;0.4552371893948401;0.15566916339713865;0.7141818181818181;1.5688125549039624;1.0;0.05644178093482262;1.9059767546618185;0.4636325185627309;0.30078872808025114;0.47533462957819134;0.5280667948748388;6
frozenset({'TV', 'Alta_Renda', 'Urbano'});frozenset({'Celular_Net', 'Alta_Escol'});0.2179685332699243;0.45713946023065033;0.15582768596678953;0.7149090909090909;1.5638752571225913;1.0;0.05618566832050979;1.9041664341399385;0.46105920962447877;0.300083950240403;0.47483582208417957;0.527892343460614;5
frozenset({'Celular_Net', 'Alta_Renda', 'Internet'});frozenset({'TV', 'Alta_Escol', 'Urbano'});0.23366226766535886;0.42654460428803553;0.15566916339713865;0.666214382632293;1.5618867896460698;1.0;0.056001783898773125;1.7180350676411291;0.46943888477362644;0.308538213808813;0.4179397040055736;0.5155841958687806;6
frozenset({'Celular_Net', 'Alta_Renda'});frozenset({'TV', 'Alta_Escol', 'Urbano'});0.2341378353743114;0.42654460428803553;0.15582768596678953;0.6655382532159784;1.560301657846212;1.0;0.055957455628196665;1.7145619827258534;0.468881095045265;0.3086584504278201;0.41676065952997804;0.51543195295752;5
frozenset({'TV_Assinatura'});frozenset({'TV', 'Alta_Escol'});0.13161336345262156;0.49617564300717315;0.10141481393413387;0.7705510388437218;1.552980380442782;1.0;0.03611146869469259;2.195801429886061;0.41004415188196036;0.19266676705315464;0.5445854136036837;0.4874720050448641;3
frozenset({'TV_Assinatura'});frozenset({'Alta_Escol', 'Internet'});0.13161336345262156;0.49680973328577654;0.10141481393413387;0.7705510388437218;1.5509982740223063;1.0;0.03602801394039298;2.193037894695454;0.40909652678710157;0.1924349526244548;0.544011527379982;0.48734156919850413;3
frozenset({'Alta_Escol', 'Alta_Renda', 'Internet'});frozenset({'TV', 'Celular_Net', 'Urbano'});0.18677921769111877;0.5390559980977292;0.15566916339713865;0.8334394228729046;1.5461091719858846;1.0;0.05498470578073959;2.7674255808476445;0.43434101844904177;0.27302425801070407;0.6386533365447513;0.5611102422407458;6
frozenset({'TV', 'Celular_Net', 'Alta_Renda'});frozenset({'Alta_Escol', 'Internet'});0.22335830063805334;0.49680973328577654;0.1710854832956842;0.7659687721788502;1.5417748905862259;1.0;0.06011890552852864;2.1500988197129356;0.45245688343068585;0.31158426560808367;0.5349050979277725;0.5551684958533051;5
frozenset({'Celular_Net', 'Alta_Renda', 'Urbano', 'Internet'});frozenset({'TV', 'Alta_Escol'});0.203899655213411;0.49617564300717315;0.15566916339713865;0.7634596695821185;1.538688326083514;1.0;0.05449912086268355;2.129972322701803;0.43976341166079025;0.285943073451263;0.5305103313588921;0.5385988443757238;6
frozenset({'Alta_Renda', 'Urbano'});frozenset({'Celular_Net', 'Alta_Escol', 'Internet'});0.23152221297507233;0.4552371893948401;0.1621685887528237;0.7004450530640192;1.5386375924057105;1.0;0.05677106723557819;1.8185739083173393;0.4555426066843902;0.3091334894613584;0.4501185816939034;0.5283369167122133;5
frozenset({'Alta_Renda', 'Internet'});frozenset({'TV', 'Alta_Escol', 'Urbano'});0.2469385328736179;0.42654460428803553;0.16201006618317282;0.6560744663777884;1.5381145600771844;1.0;0.05667976739512742;1.667382440821862;0.464574784176596;0.31675189834185646;0.40025756807952556;0.5179471096173993;5
frozenset({'Celular_Net', 'Alta_Renda', 'Urbano'});frozenset({'TV', 'Alta_Escol'});0.20421670035271272;0.49617564300717315;0.15582768596678953;0.763050650106734;1.537863981960321;1.0;0.054500333356479094;2.1262955868829136;0.4395008470695043;0.2861509351575577;0.5296985018597671;0.5385540790469773;5
frozenset({'TV_Assinatura'});frozenset({'TV', 'Celular_Net', 'Urbano', 'Internet'});0.13161336345262156;0.5365592676257283;0.10850869892600959;0.8244504667268895;1.536550603952995;1.0;0.037890329022112174;2.6399428339879183;0.40211538430766686;0.19388188641835433;0.6212039188403969;0.5133405299141501;5
frozenset({'Alta_Renda'});frozenset({'Celular_Net', 'Urbano', 'Alta_Escol', 'Internet'});0.2678635120675306;0.39448341457615027;0.1621685887528237;0.6054150022192633;1.5347033103273728;1.0;0.056500875872064385;1.5345656546230975;0.4758788367705172;0.32422153553601146;0.34834981026236467;0.5082530104526093;5
frozenset({'Alta_Renda', 'Urbano'});frozenset({'Celular_Net', 'Alta_Escol'});0.23152221297507233;0.45713946023065033;0.16240637260729995;0.701472098596371;1.5344816180218666;1.0;0.056568433136469726;1.8184582989292088;0.45325203697085775;0.30860757587167703;0.45008362271004754;0.5283693392851816;4
frozenset({'Celular_Net', 'Alta_Renda'});frozenset({'Alta_Escol', 'Internet'});0.2341378353743114;0.49680973328577654;0.17845678278444893;0.762186865267434;1.5341625056870742;1.0;0.06213482724002822;2.1159061179698444;0.4546230183183901;0.32300408865935015;0.5273892392922077;0.5606961767307176;4
frozenset({'Alta_Renda', 'Urbano'});frozenset({'TV', 'Alta_Escol', 'Internet'});0.23152221297507233;0.45690167637617407;0.16201006618317282;0.6997603560424511;1.5315337899227313;1.0;0.05622717895654067;1.808882785980838;0.45161980243623817;0.30776180079801246;0.447172582021247;0.5271722241657307;5
frozenset({'Alta_Renda'});frozenset({'Celular_Net', 'Urbano', 'Alta_Escol'});0.2678635120675306;0.3959497483454207;0.16240637260729995;0.6063027075011096;1.531261757419227;1.0;0.05634588241324065;1.5343012592759495;0.4738785671794524;0.3239013594688586;0.3482375159674254;0.5082359298690614;4
frozenset({'TV_Assinatura'});frozenset({'TV', 'Urbano', 'Celular_Net'});0.13161336345262156;0.5390559980977292;0.10858796021083501;0.8250526949713941;1.5305509963397432;1.0;0.0376409872118829;2.63475908832606;0.39917763289388464;0.19318902911936828;0.6204586580872828;0.5132468297677144;4
frozenset({'Alta_Renda'});frozenset({'TV', 'Alta_Escol', 'Urbano', 'Internet'});0.2678635120675306;0.3960686402726588;0.16201006618317282;0.6048231986980322;1.527066617245092;1.0;0.05591772917992703;1.528256106475889;0.4714281106339326;0.32277931306750884;0.34565941155898994;0.506934312977193;5
frozenset({'Alta_Renda', 'Urbano', 'Internet'});frozenset({'TV', 'Alta_Escol'});0.21523401894344707;0.49617564300717315;0.16201006618317282;0.7527158902596207;1.5170351484761189;1.0;0.055216188436889885;2.03743118602237;0.43429442676232466;0.29488566688307;0.5091858773634083;0.5396167310723023;5
frozenset({'Alta_Renda'});frozenset({'TV', 'Celular_Net', 'Alta_Escol', 'Internet'});0.2678635120675306;0.4234930448222566;0.1710854832956842;0.6387039502885041;1.5081804957542415;1.0;0.057647148973422394;1.5956635995275867;0.460227558698087;0.32883912248628877;0.37330149017871894;0.5213452373564924;5
frozenset({'TV', 'Alta_Escol', 'Alta_Renda', 'Internet'});frozenset({'Celular_Net', 'Urbano'});0.17798121507549639;0.5806681726310784;0.15566916339713865;0.8746381652193275;1.5062615904299268;1.0;0.05232113647659123;3.3449720012678967;0.4088771446935788;0.2581662832730857;0.7010438354578291;0.5713622166527977;6
frozenset({'TV', 'Alta_Renda'});frozenset({'Alta_Escol', 'Urbano', 'Internet'});0.25058455197558754;0.42923948797210004;0.16201006618317282;0.6465285465759923;1.5062187070216984;1.0;0.05444928139945353;1.6147287326856425;0.4484639232495877;0.31287310577070254;0.3807009315200676;0.5119818432261367;5
frozenset({'Alta_Renda'});frozenset({'TV', 'Alta_Escol', 'Celular_Net'});0.2678635120675306;0.42491974794911425;0.17128363650774778;0.6394437046900429;1.5048575825819672;1.0;0.05746314047524814;1.5949804774772;0.45822779711616907;0.3284444106695038;0.3730330783849391;0.5212700709609512;4
frozenset({'TV', 'Alta_Renda'});frozenset({'Celular_Net', 'Alta_Escol', 'Internet'});0.25058455197558754;0.4552371893948401;0.1710854832956842;0.6827455321840897;1.4997578143641626;1.0;0.05701007614855251;1.7171162768975199;0.4446474632590864;0.31994367449788774;0.41762825648196833;0.5292808360842098;5
